;siren;denominationUsuelleEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte;trancheEffectifsEtablissement;denomination;FJ
72;200050292;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
73;200052744;;2017.0;500 à 999 salariés;41.0;nan;nan
74;200053098;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
75;200055358;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
76;200055648;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
77;216601369;;2017.0;500 à 999 salariés;41.0;nan;nan
78;216901231;;2017.0;500 à 999 salariés;41.0;nan;nan
79;217500016;;2017.0;500 à 999 salariés;41.0;nan;nan
80;220100010;;2017.0;500 à 999 salariés;41.0;nan;nan
81;221401185;;2017.0;500 à 999 salariés;41.0;nan;nan
82;221700016;;2017.0;500 à 999 salariés;41.0;nan;nan
83;223300013;;2017.0;500 à 999 salariés;41.0;nan;nan
84;223500018;;2017.0;500 à 999 salariés;41.0;nan;nan
85;225100015;;2017.0;500 à 999 salariés;41.0;nan;nan
86;225400019;;2017.0;500 à 999 salariés;41.0;nan;nan
87;226200012;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
88;227500055;;2017.0;500 à 999 salariés;41.0;nan;nan
89;227605409;;2017.0;500 à 999 salariés;41.0;nan;nan
90;227700010;;2017.0;500 à 999 salariés;41.0;nan;nan
91;229740014;;2017.0;500 à 999 salariés;41.0;nan;nan
92;243300316;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
93;256701152;;2017.0;500 à 999 salariés;41.0;nan;nan
94;257550004;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
95;260100045;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
96;260110218;;2017.0;500 à 999 salariés;41.0;nan;nan
97;260200340;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
98;260208616;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
99;260208624;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
100;260208632;;2017.0;500 à 999 salariés;41.0;nan;nan
101;260208640;;2017.0;500 à 999 salariés;41.0;nan;nan
102;260208715;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
103;260300173;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
104;260300264;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
105;260303839;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
106;260400163;;2017.0;500 à 999 salariés;41.0;nan;nan
107;260403589;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
108;260500046;;2017.0;500 à 999 salariés;41.0;nan;nan
109;260503479;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
110;260600150;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
111;260600176;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
112;260600200;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
113;260600473;;2017.0;500 à 999 salariés;41.0;nan;nan
114;260600705;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
115;260700018;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
116;260804893;;2017.0;500 à 999 salariés;41.0;nan;nan
117;260804901;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
118;260804927;;2017.0;500 à 999 salariés;41.0;nan;nan
119;260900162;;2017.0;500 à 999 salariés;41.0;nan;nan
120;260900238;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
121;261000020;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
122;261100028;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
123;261100101;;2017.0;500 à 999 salariés;41.0;nan;nan
124;261200117;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
125;261200141;;2017.0;500 à 999 salariés;41.0;nan;nan
126;261200208;;2017.0;500 à 999 salariés;41.0;nan;nan
127;261300024;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
128;261300040;;2017.0;500 à 999 salariés;41.0;nan;nan
129;261300057;;2017.0;500 à 999 salariés;41.0;nan;nan
130;261300065;;2017.0;500 à 999 salariés;41.0;nan;nan
131;261300073;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
132;261300081;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
133;261300115;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
134;261300198;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
135;261300206;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
136;261300222;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
137;261400915;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
138;261400923;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
139;261400931;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
140;261400972;;2017.0;500 à 999 salariés;41.0;nan;nan
141;261401004;;2017.0;500 à 999 salariés;41.0;nan;nan
142;261401277;;2017.0;500 à 999 salariés;41.0;nan;nan
143;261500136;;2017.0;500 à 999 salariés;41.0;nan;nan
144;261502843;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
145;261600324;;2017.0;500 à 999 salariés;41.0;nan;nan
146;261600340;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
147;261700025;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
148;261700330;;2017.0;500 à 999 salariés;41.0;nan;nan
149;261700355;;2017.0;500 à 999 salariés;41.0;nan;nan
150;261700397;;2017.0;500 à 999 salariés;41.0;nan;nan
151;261800056;;2017.0;500 à 999 salariés;41.0;nan;nan
152;261800072;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
153;261800239;;2017.0;500 à 999 salariés;41.0;nan;nan
154;261803654;;2017.0;500 à 999 salariés;41.0;nan;nan
155;261903108;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
156;261927206;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
157;261927503;;2017.0;500 à 999 salariés;41.0;nan;nan
158;262000060;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
159;262000086;;2017.0;500 à 999 salariés;41.0;nan;nan
160;262000094;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
161;262100068;;2017.0;500 à 999 salariés;41.0;nan;nan
162;262100076;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
163;262100183;;2017.0;500 à 999 salariés;41.0;nan;nan
164;262200025;;2017.0;500 à 999 salariés;41.0;nan;nan
165;262200074;;2017.0;500 à 999 salariés;41.0;nan;nan
166;262200082;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
167;262200090;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
168;262309602;;2017.0;500 à 999 salariés;41.0;nan;nan
169;262405632;;2017.0;500 à 999 salariés;41.0;nan;nan
170;262405806;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
171;262405988;;2017.0;500 à 999 salariés;41.0;nan;nan
172;262501760;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
173;262504293;;2017.0;500 à 999 salariés;41.0;nan;nan
174;262504624;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
175;262600133;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
176;262600141;;2017.0;500 à 999 salariés;41.0;nan;nan
177;262611098;;2017.0;500 à 999 salariés;41.0;nan;nan
178;262702780;;2017.0;500 à 999 salariés;41.0;nan;nan
179;262703044;;2017.0;500 à 999 salariés;41.0;nan;nan
180;262708746;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
181;262800048;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
182;262800055;;2017.0;500 à 999 salariés;41.0;nan;nan
183;262800170;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
184;262900020;;2017.0;500 à 999 salariés;41.0;nan;nan
185;262900038;;2017.0;500 à 999 salariés;41.0;nan;nan
186;262900053;;2017.0;500 à 999 salariés;41.0;nan;nan
187;262900061;;2017.0;500 à 999 salariés;41.0;nan;nan
188;262900095;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
189;262903610;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
190;263000010;;2017.0;500 à 999 salariés;41.0;nan;nan
191;263000036;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
192;263000135;;2017.0;500 à 999 salariés;41.0;nan;nan
193;263000176;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
194;263100125;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
195;263100133;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
196;263100182;;2017.0;500 à 999 salariés;41.0;nan;nan
197;263200040;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
198;263305591;;2017.0;500 à 999 salariés;41.0;nan;nan
199;263305658;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
200;263305823;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
201;263305849;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
202;263305856;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
203;263400111;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
204;263400160;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
205;263403909;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
206;263500050;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
207;263500068;;2017.0;500 à 999 salariés;41.0;nan;nan
208;263500076;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
209;263500084;;2017.0;500 à 999 salariés;41.0;nan;nan
210;263500126;;2017.0;500 à 999 salariés;41.0;nan;nan
211;263500142;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
212;263600033;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
213;263700189;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
214;263703910;;2017.0;500 à 999 salariés;41.0;nan;nan
215;263707077;;2017.0;500 à 999 salariés;41.0;nan;nan
216;263800062;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
217;263800302;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
218;263800328;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
219;263800385;;2017.0;500 à 999 salariés;41.0;nan;nan
220;263900045;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
221;263900052;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
222;263900144;;2017.0;500 à 999 salariés;41.0;nan;nan
223;264003328;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
224;264004284;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
225;264100033;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
226;264100124;;2017.0;500 à 999 salariés;41.0;nan;nan
227;264200130;;2017.0;500 à 999 salariés;41.0;nan;nan
228;264200270;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
229;264200304;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
230;264203969;;2017.0;500 à 999 salariés;41.0;nan;nan
231;264302845;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
232;264400136;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
233;264400268;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
234;264400540;;2017.0;500 à 999 salariés;41.0;nan;nan
235;264403015;;2017.0;500 à 999 salariés;41.0;nan;nan
236;264500042;;2017.0;500 à 999 salariés;41.0;nan;nan
237;264500091;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
238;264500224;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
239;264600016;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
240;264702432;;2017.0;500 à 999 salariés;41.0;nan;nan
241;264702689;;2017.0;500 à 999 salariés;41.0;nan;nan
242;264703612;;2017.0;500 à 999 salariés;41.0;nan;nan
243;264800095;;2017.0;500 à 999 salariés;41.0;nan;nan
244;264900036;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
245;264900390;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
246;264900523;;2017.0;500 à 999 salariés;41.0;nan;nan
247;264900614;;2017.0;500 à 999 salariés;41.0;nan;nan
248;265001073;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
249;265001651;;2017.0;500 à 999 salariés;41.0;nan;nan
250;265100016;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
251;265100024;;2017.0;500 à 999 salariés;41.0;nan;nan
252;265100057;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
253;265109157;;2017.0;500 à 999 salariés;41.0;nan;nan
254;265200048;;2017.0;500 à 999 salariés;41.0;nan;nan
255;265205120;;2017.0;500 à 999 salariés;41.0;nan;nan
256;265205138;;2017.0;500 à 999 salariés;41.0;nan;nan
257;265300087;;2017.0;500 à 999 salariés;41.0;nan;nan
258;265300236;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
259;265300277;;2017.0;500 à 999 salariés;41.0;nan;nan
260;265400119;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
261;265400200;;2017.0;500 à 999 salariés;41.0;nan;nan
262;265400317;;2017.0;500 à 999 salariés;41.0;nan;nan
263;265400911;;2017.0;500 à 999 salariés;41.0;nan;nan
264;265500025;;2017.0;500 à 999 salariés;41.0;nan;nan
265;265600023;;2017.0;500 à 999 salariés;41.0;nan;nan
266;265600056;;2017.0;500 à 999 salariés;41.0;nan;nan
267;265600262;;2017.0;500 à 999 salariés;41.0;nan;nan
268;265613349;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
269;265613372;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
270;265700021;;2017.0;500 à 999 salariés;41.0;nan;nan
271;265700054;;2017.0;500 à 999 salariés;41.0;nan;nan
272;265700096;;2017.0;500 à 999 salariés;41.0;nan;nan
273;265700161;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
274;265702803;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
275;265703132;;2017.0;500 à 999 salariés;41.0;nan;nan
276;265906719;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
277;265906727;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
278;265906735;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
279;265906743;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
280;265906784;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
281;265906818;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
282;265906826;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
283;265906834;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
284;265906958;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
285;265906982;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
286;265907006;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
287;265907063;;2017.0;500 à 999 salariés;41.0;nan;nan
288;265907071;;2017.0;500 à 999 salariés;41.0;nan;nan
289;265908707;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
290;266006972;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
291;266007111;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
292;266100486;;2017.0;500 à 999 salariés;41.0;nan;nan
293;266100502;;2017.0;500 à 999 salariés;41.0;nan;nan
294;266100577;;2017.0;500 à 999 salariés;41.0;nan;nan
295;266106046;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
296;266209253;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
297;266209295;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
298;266209303;;2017.0;500 à 999 salariés;41.0;nan;nan
299;266209329;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
300;266209337;;2017.0;500 à 999 salariés;41.0;nan;nan
301;266209402;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
302;266209410;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
303;266209667;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
304;266209691;;2017.0;500 à 999 salariés;41.0;nan;nan
305;266307461;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
306;266307859;;2017.0;500 à 999 salariés;41.0;nan;nan
307;266307867;;2017.0;500 à 999 salariés;41.0;nan;nan
308;266405489;;2017.0;500 à 999 salariés;41.0;nan;nan
309;266405521;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
310;266405612;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
311;266405679;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
312;266500057;;2017.0;500 à 999 salariés;41.0;nan;nan
313;266500099;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
314;266500107;;2017.0;500 à 999 salariés;41.0;nan;nan
315;266500180;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
316;266600014;;2017.0;500 à 999 salariés;41.0;nan;nan
317;266600022;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
318;266700111;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
319;266700228;;2017.0;500 à 999 salariés;41.0;nan;nan
320;266700319;;2017.0;500 à 999 salariés;41.0;nan;nan
321;266700574;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
322;266700582;;2017.0;500 à 999 salariés;41.0;nan;nan
323;266706027;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
324;266800192;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
325;266800903;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
326;266900083;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
327;266900257;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
328;266900273;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
329;267006617;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
330;267100287;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
331;267100337;;2017.0;500 à 999 salariés;41.0;nan;nan
332;267100444;;2017.0;500 à 999 salariés;41.0;nan;nan
333;267100766;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
334;267100790;;2017.0;500 à 999 salariés;41.0;nan;nan
335;267200160;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
336;267201069;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
337;267205482;;2017.0;500 à 999 salariés;41.0;nan;nan
338;267300044;;2017.0;500 à 999 salariés;41.0;nan;nan
339;267311090;;2017.0;500 à 999 salariés;41.0;nan;nan
340;267400026;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
341;267400844;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
342;267411031;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
343;267411080;;2017.0;500 à 999 salariés;41.0;nan;nan
344;267500049;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
345;267500452;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
346;267500643;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
347;267601615;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
348;267601680;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
349;267601714;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
350;267601722;;2017.0;500 à 999 salariés;41.0;nan;nan
351;267601763;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
352;267602175;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
353;267700052;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
354;267700086;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
355;267800076;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
356;267800092;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
357;267800100;;2017.0;500 à 999 salariés;41.0;nan;nan
358;267802387;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
359;267802403;;2017.0;500 à 999 salariés;41.0;nan;nan
360;267802445;;2017.0;500 à 999 salariés;41.0;nan;nan
361;267802718;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
362;267805778;;2017.0;500 à 999 salariés;41.0;nan;nan
363;267805802;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
364;267900017;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
365;268000015;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
366;268000148;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
367;268000296;;2017.0;500 à 999 salariés;41.0;nan;nan
368;268100013;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
369;268100054;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
370;268100088;;2017.0;500 à 999 salariés;41.0;nan;nan
371;268200078;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
372;268300027;;2017.0;500 à 999 salariés;41.0;nan;nan
373;268300050;;2017.0;500 à 999 salariés;41.0;nan;nan
374;268300084;;2017.0;500 à 999 salariés;41.0;nan;nan
375;268300126;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
376;268300217;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
377;268300241;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
378;268400090;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
379;268400165;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
380;268400223;;2017.0;500 à 999 salariés;41.0;nan;nan
381;268400264;;2017.0;500 à 999 salariés;41.0;nan;nan
382;268403441;;2017.0;500 à 999 salariés;41.0;nan;nan
383;268500196;;2017.0;500 à 999 salariés;41.0;nan;nan
384;268500303;;2017.0;500 à 999 salariés;41.0;nan;nan
385;268502416;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
386;268502424;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
387;268504453;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
388;268600020;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
389;268708500;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
390;268708518;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
391;268708526;;2017.0;500 à 999 salariés;41.0;nan;nan
392;268715406;;2017.0;500 à 999 salariés;41.0;nan;nan
393;268800133;;2017.0;500 à 999 salariés;41.0;nan;nan
394;268800315;;2017.0;500 à 999 salariés;41.0;nan;nan
395;268800844;;2017.0;500 à 999 salariés;41.0;nan;nan
396;268900024;;2017.0;500 à 999 salariés;41.0;nan;nan
397;268900057;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
398;268900230;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
399;269100012;;2017.0;500 à 999 salariés;41.0;nan;nan
400;269100046;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
401;269100095;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
402;269102141;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
403;269102240;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
404;269201331;;2017.0;500 à 999 salariés;41.0;nan;nan
405;269201380;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
406;269201414;;2017.0;500 à 999 salariés;41.0;nan;nan
