siren;denominationUsuelleEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte;trancheEffectifsEtablissement
256701152;;2017.0;500 à 999 salariés;41.0
257550004;;2017.0;1 000 à 1 999 salariés;42.0
260100045;;2017.0;2 000 à 4 999 salariés;51.0
260110218;;2017.0;500 à 999 salariés;41.0
260200340;;2017.0;1 000 à 1 999 salariés;42.0
260208616;;2017.0;2 000 à 4 999 salariés;51.0
260208624;;2017.0;1 000 à 1 999 salariés;42.0
260208632;;2017.0;500 à 999 salariés;41.0
260208640;;2017.0;500 à 999 salariés;41.0
260208715;;2017.0;1 000 à 1 999 salariés;42.0
260300173;;2017.0;1 000 à 1 999 salariés;42.0
260300264;;2017.0;1 000 à 1 999 salariés;42.0
260303839;;2017.0;1 000 à 1 999 salariés;42.0
260400163;;2017.0;500 à 999 salariés;41.0
260403589;;2017.0;1 000 à 1 999 salariés;42.0
260500046;;2017.0;500 à 999 salariés;41.0
260503479;;2017.0;1 000 à 1 999 salariés;42.0
260600150;;2017.0;1 000 à 1 999 salariés;42.0
260600176;;2017.0;1 000 à 1 999 salariés;42.0
260600200;;2017.0;2 000 à 4 999 salariés;51.0
260600473;;2017.0;500 à 999 salariés;41.0
260600705;;2017.0;2 000 à 4 999 salariés;51.0
260700018;;2017.0;1 000 à 1 999 salariés;42.0
260804893;;2017.0;500 à 999 salariés;41.0
260804901;;2017.0;1 000 à 1 999 salariés;42.0
260804927;;2017.0;500 à 999 salariés;41.0
260900162;;2017.0;500 à 999 salariés;41.0
260900238;;2017.0;1 000 à 1 999 salariés;42.0
261000020;;2017.0;2 000 à 4 999 salariés;51.0
261100028;;2017.0;1 000 à 1 999 salariés;42.0
261100101;;2017.0;500 à 999 salariés;41.0
261200117;;2017.0;1 000 à 1 999 salariés;42.0
261200141;;2017.0;500 à 999 salariés;41.0
261200208;;2017.0;500 à 999 salariés;41.0
261300024;;2017.0;1 000 à 1 999 salariés;42.0
261300040;;2017.0;500 à 999 salariés;41.0
261300057;;2017.0;500 à 999 salariés;41.0
261300065;;2017.0;500 à 999 salariés;41.0
261300073;;2017.0;1 000 à 1 999 salariés;42.0
261300081;;2017.0;5 000 à 9 999 salariés;52.0
261300115;;2017.0;1 000 à 1 999 salariés;42.0
261300198;;2017.0;1 000 à 1 999 salariés;42.0
261300206;;2017.0;1 000 à 1 999 salariés;42.0
261300222;;2017.0;1 000 à 1 999 salariés;42.0
261400915;;2017.0;1 000 à 1 999 salariés;42.0
261400923;;2017.0;1 000 à 1 999 salariés;42.0
261400931;;2017.0;5 000 à 9 999 salariés;52.0
261400972;;2017.0;500 à 999 salariés;41.0
261401004;;2017.0;500 à 999 salariés;41.0
261401277;;2017.0;500 à 999 salariés;41.0
261500136;;2017.0;500 à 999 salariés;41.0
261502843;;2017.0;1 000 à 1 999 salariés;42.0
261600324;;2017.0;500 à 999 salariés;41.0
261600340;;2017.0;2 000 à 4 999 salariés;51.0
261700025;;2017.0;1 000 à 1 999 salariés;42.0
261700330;;2017.0;500 à 999 salariés;41.0
261700355;;2017.0;500 à 999 salariés;41.0
261700397;;2017.0;500 à 999 salariés;41.0
261800056;;2017.0;500 à 999 salariés;41.0
261800072;;2017.0;1 000 à 1 999 salariés;42.0
261800239;;2017.0;500 à 999 salariés;41.0
261803654;;2017.0;500 à 999 salariés;41.0
261903108;;2017.0;1 000 à 1 999 salariés;42.0
261927206;;2017.0;1 000 à 1 999 salariés;42.0
261927503;;2017.0;500 à 999 salariés;41.0
262000060;;2017.0;1 000 à 1 999 salariés;42.0
262000086;;2017.0;500 à 999 salariés;41.0
262000094;;2017.0;2 000 à 4 999 salariés;51.0
262100068;;2017.0;500 à 999 salariés;41.0
262100076;;2017.0;5 000 à 9 999 salariés;52.0
262100183;;2017.0;500 à 999 salariés;41.0
262200025;;2017.0;500 à 999 salariés;41.0
262200074;;2017.0;500 à 999 salariés;41.0
262200082;;2017.0;1 000 à 1 999 salariés;42.0
262200090;;2017.0;2 000 à 4 999 salariés;51.0
262309602;;2017.0;500 à 999 salariés;41.0
262405632;;2017.0;500 à 999 salariés;41.0
262405806;;2017.0;2 000 à 4 999 salariés;51.0
262405988;;2017.0;500 à 999 salariés;41.0
262501760;;2017.0;5 000 à 9 999 salariés;52.0
262504293;;2017.0;500 à 999 salariés;41.0
262504624;;2017.0;1 000 à 1 999 salariés;42.0
262600133;;2017.0;2 000 à 4 999 salariés;51.0
262600141;;2017.0;500 à 999 salariés;41.0
262611098;;2017.0;500 à 999 salariés;41.0
262702780;;2017.0;500 à 999 salariés;41.0
262703044;;2017.0;500 à 999 salariés;41.0
262708746;;2017.0;1 000 à 1 999 salariés;42.0
262800048;;2017.0;2 000 à 4 999 salariés;51.0
262800055;;2017.0;500 à 999 salariés;41.0
262800170;;2017.0;1 000 à 1 999 salariés;42.0
262900020;;2017.0;500 à 999 salariés;41.0
262900038;;2017.0;500 à 999 salariés;41.0
262900053;;2017.0;500 à 999 salariés;41.0
262900061;;2017.0;500 à 999 salariés;41.0
262900095;;2017.0;2 000 à 4 999 salariés;51.0
262903610;;2017.0;2 000 à 4 999 salariés;51.0
263000010;;2017.0;500 à 999 salariés;41.0
263000036;;2017.0;5 000 à 9 999 salariés;52.0
263000135;;2017.0;500 à 999 salariés;41.0
263000176;;2017.0;1 000 à 1 999 salariés;42.0
263100125;;2017.0;5 000 à 9 999 salariés;52.0
263100133;;2017.0;1 000 à 1 999 salariés;42.0
263100182;;2017.0;500 à 999 salariés;41.0
263200040;;2017.0;1 000 à 1 999 salariés;42.0
263305591;;2017.0;500 à 999 salariés;41.0
263305658;;2017.0;2 000 à 4 999 salariés;51.0
263305823;;2017.0;5 000 à 9 999 salariés;52.0
263305849;;2017.0;1 000 à 1 999 salariés;42.0
263305856;;2017.0;1 000 à 1 999 salariés;42.0
263400111;;2017.0;2 000 à 4 999 salariés;51.0
263400160;;2017.0;2 000 à 4 999 salariés;51.0
263403909;;2017.0;1 000 à 1 999 salariés;42.0
263500050;;2017.0;2 000 à 4 999 salariés;51.0
263500068;;2017.0;500 à 999 salariés;41.0
263500076;;2017.0;5 000 à 9 999 salariés;52.0
263500084;;2017.0;500 à 999 salariés;41.0
263500126;;2017.0;500 à 999 salariés;41.0
263500142;;2017.0;2 000 à 4 999 salariés;51.0
263600033;;2017.0;2 000 à 4 999 salariés;51.0
263700189;;2017.0;2 000 à 4 999 salariés;51.0
263703910;;2017.0;500 à 999 salariés;41.0
263707077;;2017.0;500 à 999 salariés;41.0
263800062;;2017.0;1 000 à 1 999 salariés;42.0
263800302;;2017.0;5 000 à 9 999 salariés;52.0
263800328;;2017.0;1 000 à 1 999 salariés;42.0
263800385;;2017.0;500 à 999 salariés;41.0
263900045;;2017.0;1 000 à 1 999 salariés;42.0
263900052;;2017.0;1 000 à 1 999 salariés;42.0
263900144;;2017.0;500 à 999 salariés;41.0
264003328;;2017.0;1 000 à 1 999 salariés;42.0
264004284;;2017.0;1 000 à 1 999 salariés;42.0
264100033;;2017.0;2 000 à 4 999 salariés;51.0
264100124;;2017.0;500 à 999 salariés;41.0
264200130;;2017.0;500 à 999 salariés;41.0
264200270;;2017.0;2 000 à 4 999 salariés;51.0
264200304;;2017.0;2 000 à 4 999 salariés;51.0
264203969;;2017.0;500 à 999 salariés;41.0
264302845;;2017.0;1 000 à 1 999 salariés;42.0
264400136;;2017.0;5 000 à 9 999 salariés;52.0
264400268;;2017.0;2 000 à 4 999 salariés;51.0
264400540;;2017.0;500 à 999 salariés;41.0
264403015;;2017.0;500 à 999 salariés;41.0
264500042;;2017.0;500 à 999 salariés;41.0
264500091;;2017.0;2 000 à 4 999 salariés;51.0
264500224;;2017.0;1 000 à 1 999 salariés;42.0
264600016;;2017.0;1 000 à 1 999 salariés;42.0
264702432;;2017.0;500 à 999 salariés;41.0
264702689;;2017.0;500 à 999 salariés;41.0
264703612;;2017.0;500 à 999 salariés;41.0
264800095;;2017.0;500 à 999 salariés;41.0
264900036;;2017.0;5 000 à 9 999 salariés;52.0
264900390;;2017.0;2 000 à 4 999 salariés;51.0
264900523;;2017.0;500 à 999 salariés;41.0
264900614;;2017.0;500 à 999 salariés;41.0
265001073;;2017.0;1 000 à 1 999 salariés;42.0
265001651;;2017.0;500 à 999 salariés;41.0
265100016;;2017.0;1 000 à 1 999 salariés;42.0
265100024;;2017.0;500 à 999 salariés;41.0
265100057;;2017.0;2 000 à 4 999 salariés;51.0
265109157;;2017.0;500 à 999 salariés;41.0
265200048;;2017.0;500 à 999 salariés;41.0
265205120;;2017.0;500 à 999 salariés;41.0
265205138;;2017.0;500 à 999 salariés;41.0
265300087;;2017.0;500 à 999 salariés;41.0
265300236;;2017.0;1 000 à 1 999 salariés;42.0
265300277;;2017.0;500 à 999 salariés;41.0
265400119;;2017.0;1 000 à 1 999 salariés;42.0
265400200;;2017.0;500 à 999 salariés;41.0
265400317;;2017.0;500 à 999 salariés;41.0
265400911;;2017.0;500 à 999 salariés;41.0
265500025;;2017.0;500 à 999 salariés;41.0
265600023;;2017.0;500 à 999 salariés;41.0
265600056;;2017.0;500 à 999 salariés;41.0
265600262;;2017.0;500 à 999 salariés;41.0
265613349;;2017.0;2 000 à 4 999 salariés;51.0
265613372;;2017.0;2 000 à 4 999 salariés;51.0
265700021;;2017.0;500 à 999 salariés;41.0
265700054;;2017.0;500 à 999 salariés;41.0
265700096;;2017.0;500 à 999 salariés;41.0
265700161;;2017.0;1 000 à 1 999 salariés;42.0
265702803;;2017.0;2 000 à 4 999 salariés;51.0
265703132;;2017.0;500 à 999 salariés;41.0
265906719;;2017.0;5 000 à 9 999 salariés;52.0
265906727;;2017.0;2 000 à 4 999 salariés;51.0
265906735;;2017.0;2 000 à 4 999 salariés;51.0
265906743;;2017.0;1 000 à 1 999 salariés;42.0
265906784;;2017.0;1 000 à 1 999 salariés;42.0
265906818;;2017.0;1 000 à 1 999 salariés;42.0
265906826;;2017.0;2 000 à 4 999 salariés;51.0
265906834;;2017.0;2 000 à 4 999 salariés;51.0
265906958;;2017.0;1 000 à 1 999 salariés;42.0
265906982;;2017.0;1 000 à 1 999 salariés;42.0
265907006;;2017.0;1 000 à 1 999 salariés;42.0
265907063;;2017.0;500 à 999 salariés;41.0
265907071;;2017.0;500 à 999 salariés;41.0
265908707;;2017.0;1 000 à 1 999 salariés;42.0
266006972;;2017.0;2 000 à 4 999 salariés;51.0
266007111;;2017.0;1 000 à 1 999 salariés;42.0
266100486;;2017.0;500 à 999 salariés;41.0
266100502;;2017.0;500 à 999 salariés;41.0
266100577;;2017.0;500 à 999 salariés;41.0
266106046;;2017.0;1 000 à 1 999 salariés;42.0
266209253;;2017.0;2 000 à 4 999 salariés;51.0
266209295;;2017.0;1 000 à 1 999 salariés;42.0
266209303;;2017.0;500 à 999 salariés;41.0
266209329;;2017.0;2 000 à 4 999 salariés;51.0
266209337;;2017.0;500 à 999 salariés;41.0
266209402;;2017.0;2 000 à 4 999 salariés;51.0
266209410;;2017.0;1 000 à 1 999 salariés;42.0
266209667;;2017.0;1 000 à 1 999 salariés;42.0
266209691;;2017.0;500 à 999 salariés;41.0
266307461;;2017.0;2 000 à 4 999 salariés;51.0
266307859;;2017.0;500 à 999 salariés;41.0
266307867;;2017.0;500 à 999 salariés;41.0
266405489;;2017.0;500 à 999 salariés;41.0
266405521;;2017.0;2 000 à 4 999 salariés;51.0
266405612;;2017.0;1 000 à 1 999 salariés;42.0
266405679;;2017.0;2 000 à 4 999 salariés;51.0
266500057;;2017.0;500 à 999 salariés;41.0
266500099;;2017.0;1 000 à 1 999 salariés;42.0
266500107;;2017.0;500 à 999 salariés;41.0
266500180;;2017.0;1 000 à 1 999 salariés;42.0
266600014;;2017.0;500 à 999 salariés;41.0
266600022;;2017.0;2 000 à 4 999 salariés;51.0
266700111;;2017.0;2 000 à 4 999 salariés;51.0
266700228;;2017.0;500 à 999 salariés;41.0
266700319;;2017.0;500 à 999 salariés;41.0
266700574;;2017.0;5 000 à 9 999 salariés;52.0
266700582;;2017.0;500 à 999 salariés;41.0
266706027;;2017.0;1 000 à 1 999 salariés;42.0
266800192;;2017.0;1 000 à 1 999 salariés;42.0
266800903;;2017.0;2 000 à 4 999 salariés;51.0
266900083;;2017.0;2 000 à 4 999 salariés;51.0
266900257;;2017.0;2 000 à 4 999 salariés;51.0
266900273;;2017.0;2 000 à 4 999 salariés;51.0
267006617;;2017.0;1 000 à 1 999 salariés;42.0
267100287;;2017.0;1 000 à 1 999 salariés;42.0
267100337;;2017.0;500 à 999 salariés;41.0
267100444;;2017.0;500 à 999 salariés;41.0
267100766;;2017.0;2 000 à 4 999 salariés;51.0
267100790;;2017.0;500 à 999 salariés;41.0
267200160;;2017.0;2 000 à 4 999 salariés;51.0
267201069;;2017.0;1 000 à 1 999 salariés;42.0
267205482;;2017.0;500 à 999 salariés;41.0
267300044;;2017.0;500 à 999 salariés;41.0
267311090;;2017.0;500 à 999 salariés;41.0
267400026;;2017.0;2 000 à 4 999 salariés;51.0
267400844;;2017.0;1 000 à 1 999 salariés;42.0
267411031;;2017.0;1 000 à 1 999 salariés;42.0
267411080;;2017.0;500 à 999 salariés;41.0
267500049;;2017.0;1 000 à 1 999 salariés;42.0
267500452;;2017.0;5 000 à 9 999 salariés;52.0
267500643;;2017.0;2 000 à 4 999 salariés;51.0
267601615;;2017.0;1 000 à 1 999 salariés;42.0
267601680;;2017.0;5 000 à 9 999 salariés;52.0
267601714;;2017.0;2 000 à 4 999 salariés;51.0
267601722;;2017.0;500 à 999 salariés;41.0
267601763;;2017.0;1 000 à 1 999 salariés;42.0
267602175;;2017.0;1 000 à 1 999 salariés;42.0
267700052;;2017.0;2 000 à 4 999 salariés;51.0
267700086;;2017.0;1 000 à 1 999 salariés;42.0
267800076;;2017.0;1 000 à 1 999 salariés;42.0
267800092;;2017.0;1 000 à 1 999 salariés;42.0
267800100;;2017.0;500 à 999 salariés;41.0
267802387;;2017.0;1 000 à 1 999 salariés;42.0
267802403;;2017.0;500 à 999 salariés;41.0
267802445;;2017.0;500 à 999 salariés;41.0
267802718;;2017.0;2 000 à 4 999 salariés;51.0
267805778;;2017.0;500 à 999 salariés;41.0
267805802;;2017.0;2 000 à 4 999 salariés;51.0
267900017;;2017.0;2 000 à 4 999 salariés;51.0
268000015;;2017.0;1 000 à 1 999 salariés;42.0
268000148;;2017.0;5 000 à 9 999 salariés;52.0
268000296;;2017.0;500 à 999 salariés;41.0
268100013;;2017.0;1 000 à 1 999 salariés;42.0
268100054;;2017.0;1 000 à 1 999 salariés;42.0
268100088;;2017.0;500 à 999 salariés;41.0
268200078;;2017.0;1 000 à 1 999 salariés;42.0
268300027;;2017.0;500 à 999 salariés;41.0
268300050;;2017.0;500 à 999 salariés;41.0
268300084;;2017.0;500 à 999 salariés;41.0
268300126;;2017.0;2 000 à 4 999 salariés;51.0
268300217;;2017.0;1 000 à 1 999 salariés;42.0
268300241;;2017.0;1 000 à 1 999 salariés;42.0
268400090;;2017.0;2 000 à 4 999 salariés;51.0
268400165;;2017.0;2 000 à 4 999 salariés;51.0
268400223;;2017.0;500 à 999 salariés;41.0
268400264;;2017.0;500 à 999 salariés;41.0
268403441;;2017.0;500 à 999 salariés;41.0
268500196;;2017.0;500 à 999 salariés;41.0
268500303;;2017.0;500 à 999 salariés;41.0
268502416;;2017.0;1 000 à 1 999 salariés;42.0
268502424;;2017.0;2 000 à 4 999 salariés;51.0
268504453;;2017.0;1 000 à 1 999 salariés;42.0
268600020;;2017.0;1 000 à 1 999 salariés;42.0
268708500;;2017.0;1 000 à 1 999 salariés;42.0
268708518;;2017.0;2 000 à 4 999 salariés;51.0
268708526;;2017.0;500 à 999 salariés;41.0
268715406;;2017.0;500 à 999 salariés;41.0
268800133;;2017.0;500 à 999 salariés;41.0
268800315;;2017.0;500 à 999 salariés;41.0
268800844;;2017.0;500 à 999 salariés;41.0
268900024;;2017.0;500 à 999 salariés;41.0
268900057;;2017.0;2 000 à 4 999 salariés;51.0
268900230;;2017.0;1 000 à 1 999 salariés;42.0
269100012;;2017.0;500 à 999 salariés;41.0
269100046;;2017.0;2 000 à 4 999 salariés;51.0
269100095;;2017.0;1 000 à 1 999 salariés;42.0
269102141;;2017.0;1 000 à 1 999 salariés;42.0
269102240;;2017.0;1 000 à 1 999 salariés;42.0
269201331;;2017.0;500 à 999 salariés;41.0
269201380;;2017.0;1 000 à 1 999 salariés;42.0
269201414;;2017.0;500 à 999 salariés;41.0
269201547;;2017.0;1 000 à 1 999 salariés;42.0
269300935;;2017.0;2 000 à 4 999 salariés;51.0
269301016;;2017.0;2 000 à 4 999 salariés;51.0
269301164;;2017.0;2 000 à 4 999 salariés;51.0
269301248;;2017.0;2 000 à 4 999 salariés;51.0
269302618;;2017.0;1 000 à 1 999 salariés;42.0
269401063;;2017.0;1 000 à 1 999 salariés;42.0
269401154;;2017.0;2 000 à 4 999 salariés;51.0
269401204;;2017.0;2 000 à 4 999 salariés;51.0
269401345;;2017.0;1 000 à 1 999 salariés;42.0
269500047;;2017.0;2 000 à 4 999 salariés;51.0
269500088;;2017.0;500 à 999 salariés;41.0
269500153;;2017.0;2 000 à 4 999 salariés;51.0
269501631;;2017.0;2 000 à 4 999 salariés;51.0
269504726;;2017.0;2 000 à 4 999 salariés;51.0
269710414;;2017.0;2 000 à 4 999 salariés;51.0
269710448;;2017.0;500 à 999 salariés;41.0
269710877;;2017.0;500 à 999 salariés;41.0
269720728;;2017.0;1 000 à 1 999 salariés;42.0
269733028;;2017.0;2 000 à 4 999 salariés;51.0
269733119;;2017.0;500 à 999 salariés;41.0
269740114;;2017.0;500 à 999 salariés;41.0
269740353;;2017.0;500 à 999 salariés;41.0
269741187;;2017.0;500 à 999 salariés;41.0
269742144;;2017.0;500 à 999 salariés;41.0
269742318;;2017.0;1 000 à 1 999 salariés;42.0
279200224;;2017.0;500 à 999 salariés;41.0
279300198;;2017.0;500 à 999 salariés;41.0
300684727;;2017.0;500 à 999 salariés;41.0
300702305;;2017.0;500 à 999 salariés;41.0
300758109;;2017.0;500 à 999 salariés;41.0
301251880;;2017.0;2 000 à 4 999 salariés;51.0
301309605;;2017.0;500 à 999 salariés;41.0
301374690;;2017.0;1 000 à 1 999 salariés;42.0
301374922;;2017.0;500 à 999 salariés;41.0
301501391;;2017.0;500 à 999 salariés;41.0
301503231;;2017.0;500 à 999 salariés;41.0
301520920;;2017.0;1 000 à 1 999 salariés;42.0
301763405;;2017.0;500 à 999 salariés;41.0
301790705;;2017.0;1 000 à 1 999 salariés;42.0
301850277;;2017.0;500 à 999 salariés;41.0
302079462;;2017.0;500 à 999 salariés;41.0
302264262;;2017.0;500 à 999 salariés;41.0
302333075;;2017.0;500 à 999 salariés;41.0
302421193;;2017.0;500 à 999 salariés;41.0
302507652;;2017.0;500 à 999 salariés;41.0
302588462;;2017.0;1 000 à 1 999 salariés;42.0
302891114;;2017.0;500 à 999 salariés;41.0
303236186;CGI FINANCE;2017.0;500 à 999 salariés;41.0
303409593;ELIOR SERVICES PROPRETE ET ELIOR SERVICES SANTE;2017.0;2 000 à 4 999 salariés;51.0
303742480;;2017.0;500 à 999 salariés;41.0
303970230;;2017.0;500 à 999 salariés;41.0
304187701;;2017.0;2 000 à 4 999 salariés;51.0
304497852;;2017.0;1 000 à 1 999 salariés;42.0
304602956;U ENSEIGNE;2017.0;500 à 999 salariés;41.0
304634975;;2017.0;500 à 999 salariés;41.0
304765332;PUBLICIS ETOILE-AXONE, PUBLICIS VICOM, FCA ! BMZ, 133;2017.0;500 à 999 salariés;41.0
305007585;;2017.0;500 à 999 salariés;41.0
305009102;;2017.0;500 à 999 salariés;41.0
305109779;;2017.0;500 à 999 salariés;41.0
305207169;ORANO CYCLE;2017.0;2 000 à 4 999 salariés;51.0
305321929;;2017.0;500 à 999 salariés;41.0
305394397;;2017.0;500 à 999 salariés;41.0
305690158;;2017.0;500 à 999 salariés;41.0
305823296;M&L;2017.0;500 à 999 salariés;41.0
305898595;;2017.0;500 à 999 salariés;41.0
306138900;;2017.0;1 000 à 1 999 salariés;42.0
306522665;EUROFIL BY AVIVA;2017.0;500 à 999 salariés;41.0
307378489;;2017.0;500 à 999 salariés;41.0
308077635;;2017.0;2 000 à 4 999 salariés;51.0
308197185;;2017.0;500 à 999 salariés;41.0
308435460;;2017.0;500 à 999 salariés;41.0
308973239;;2017.0;500 à 999 salariés;41.0
309064947;;2017.0;500 à 999 salariés;41.0
309065043;;2017.0;500 à 999 salariés;41.0
309073625;;2017.0;1 000 à 1 999 salariés;42.0
309755387;;2017.0;500 à 999 salariés;41.0
309812840;;2017.0;1 000 à 1 999 salariés;42.0
309835478;;2017.0;500 à 999 salariés;41.0
309954006;;2017.0;1 000 à 1 999 salariés;42.0
310370754;;2017.0;500 à 999 salariés;41.0
310391503;;2017.0;500 à 999 salariés;41.0
310601687;;2017.0;500 à 999 salariés;41.0
310850342;;2017.0;500 à 999 salariés;41.0
310923008;SODEXO EN FRANCE;2017.0;500 à 999 salariés;41.0
311043194;;2017.0;500 à 999 salariés;41.0
311248637;GRAS SAVOYE RHONE ALPES AUVERGNE - GRAS SAVOYE MEDITERRANEE - GRAS SAVOYE NORD - GRAS SAVOYE CREDIT;2017.0;500 à 999 salariés;41.0
311338339;;2017.0;500 à 999 salariés;41.0
311567416;;2017.0;500 à 999 salariés;41.0
312347362;;2017.0;500 à 999 salariés;41.0
312454838;;2017.0;500 à 999 salariés;41.0
313414062;;2017.0;500 à 999 salariés;41.0
313536898;;2017.0;500 à 999 salariés;41.0
313777997;;2017.0;500 à 999 salariés;41.0
313966129;;2017.0;1 000 à 1 999 salariés;42.0
314397670;;2017.0;500 à 999 salariés;41.0
314397696;;2017.0;1 000 à 1 999 salariés;42.0
314428186;OAPLF;2017.0;500 à 999 salariés;41.0
314684960;;2017.0;2 000 à 4 999 salariés;51.0
314722026;;2017.0;2 000 à 4 999 salariés;51.0
314871815;;2017.0;1 000 à 1 999 salariés;42.0
315000943;;2017.0;500 à 999 salariés;41.0
315013359;;2017.0;1 000 à 1 999 salariés;42.0
315065292;;2017.0;500 à 999 salariés;41.0
315161141;;2017.0;500 à 999 salariés;41.0
315268664;;2017.0;1 000 à 1 999 salariés;42.0
315549352;;2017.0;500 à 999 salariés;41.0
315597500;;2017.0;500 à 999 salariés;41.0
315666958;;2017.0;1 000 à 1 999 salariés;42.0
315965269;;2017.0;500 à 999 salariés;41.0
315999201;MOILLARD;2017.0;500 à 999 salariés;41.0
316016930;;2017.0;500 à 999 salariés;41.0
316331065;;2017.0;500 à 999 salariés;41.0
317032779;;2017.0;500 à 999 salariés;41.0
317082907;;2017.0;500 à 999 salariés;41.0
317099679;;2017.0;500 à 999 salariés;41.0
317193860;;2017.0;500 à 999 salariés;41.0
