project_denomination;page_nb;page_text;rse_label
scaouest;1;"Déclaration de Performance
Extra Financière
Juin 2019";0
scaouest;2;"2019 - Déclaration de Performance Extra Financière SCAOuest
2
SOMMAIRE
SOMMAIRE ............................................................................................................................................................................................ 2 MOT DU PRESIDENT ............................................................................................................................................................................. 3 LA SCAOuest ............................................................................................................................................................................................... 4 LE MOUVEMENT E.LECLERC .................................................................................................................................................................. 5 LE FONCTIONNEMENT DE LA SCAOuest ................................................................................................................................................ 6
LA SCAOuest EN CHIFFRES ..................................................................................................................................................................... 8 NOTE METHODOLOGIQUE ..................................................................................................................................................................... 9 TABLE RECAPITULATIVE DES ENJEUX RSE ............................................................................................................................................ 10 LA POLITIQUE SOCIALE .............................................................................................................................................................................. 11 Pérenniser les emplois durables .......................................................................................................................................................... 12 Permettre à nos salariés de travailler en sécurité et dans de bonnes conditions de travail ................................................................ 13 Lutter contre les discriminations ......................................................................................................................................................... 15 L’emploi et l’insertion des personnes en situation de handicap .......................................................................................................... 16 Organisation du temps de travail ........................................................................................................................................................ 16 Valoriser nos métiers .......................................................................................................................................................................... 17 Être à l’écoute de nos salariés ............................................................................................................................................................. 18 LA PRISE EN COMPTE ENVIRONNEMENTALE ............................................................................................................................................ 19 Réduire les émissions de gaz à effet de serre ...................................................................................................................................... 20 Utilisation durable des ressources ....................................................................................................................................................... 21 Le Management de l’Energie : ISO 50001 ............................................................................................................................................ 22 La réduction des consommations de carburant SCAOuest .................................................................................................................. 22 La réduction des consommations de l’énergie, efficacité énergétique et recours aux énergies renouvelables .................................. 23 Trier les déchets pour limiter notre impact environnemental et prévenir des pollutions ................................................................... 24 Préserver la biodiversité et les espaces naturels ................................................................................................................................. 25 L’ENGAGEMENT SOCIETAL ........................................................................................................................................................................ 26 Une politique d’achats responsables ................................................................................................................................................... 27 Les approvisionnements locaux ........................................................................................................................................................... 28 Etre acteur du développement de l’économie locale .......................................................................................................................... 29 Veiller au respect des Droits de L’Homme, concurrence loyale, respect des droits de propriété et lutte contre la corruption .......... 30 Protéger les consommateurs ............................................................................................................................................................... 30 Etre un partenaire de la vie associative et des besoins des citoyens ................................................................................................... 30 Lutter contre la précarité alimentaire et le gaspillage alimentaire ...................................................................................................... 31 Impliquer les salariés dans les actions de développement durable ..................................................................................................... 31 Veiller au respect du bien-être animal ................................................................................................................................................ 31 Rapport de l’Organisme Tiers Indépendant (OTI) sur la déclaration de la performance extra-financière ................................................. 32
La Gouvernance ............................................................................................................................................................................... 6 Le rôle de la Centrale ....................................................................................................................................................................... 6 Nos parties prenantes ...................................................................................................................................................................... 7 La démarche RSE de la SCAOuest .................................................................................................................................................... 7";0
scaouest;3;"2019 - Déclaration de Performance Extra Financière SCAOuest
Yannick KERVARREC
3
le
le
MOT DU PRESIDENT
notre mouvement Leclerc, en p nforce l’intérêt individuel. n de chacun, au niveau nationa confirmé notre position d’act égion.
Le principe fondateur de notre mouvement Leclerc, en plus de l’indépendance, est le partage ; l’intérêt collectif renforce l’intérêt individuel. C’est avec cette implication de chacun, au niveau national comme au niveau local, que nous avons grandi et confirmé notre position d’acteur développement de notre région. La SCAOuest et les magasins Leclerc sont aussi un formidable ascenseur social pour les salariés. Le mouvement, avec le système de parrainage, offre la possibilité à des jeunes talentueux de créer leur propre entreprise. Forte de ces valeurs sociétales, la SCAOuest a su, depuis sa création en 1969, suivre les évolutions de notre société en pleine mutation. Ces nouveaux modes modifient nos comportements et nos habitudes, la traçabilité est au cœur de nos préoccupations quotidiennes ; une politique d’achat responsable, des partenariats locaux et régionaux avec la mise en place d’un label « Alliances locales » nous animent en permanence. La SCAOuest a aussi, et c’est son rôle principal, la gestion de la logistique pour les magasins. La réduction de notre empreinte carbone passe aussi par un travail sur son optimisation. Entre autres actions, renouvellement de sa flotte de véhicules afin de répondre aux dernières normes anti- pollution (Euro 6) et dans des semi-remorques à double étage afin d'optimiser les chargements. Notre « pôle développement durable » travaille aussi sur la réduction des déchets, le gaspillage alimentaire et l’offre responsable. Le présent rapport témoigne de notre volonté d’inscrire la SCAOuest dans une politique sociétale et environnementale pérenne et partagée.
incontournable pour
régulièrement pour
la centrale
investit";0
scaouest;4;"2019 - Déclaration de Performance Extra Financière SCAOuest
4
LA SCAOuest";0
scaouest;5;"2019 - Déclaration de Performance Extra Financière SCAOuest
5
LE MOUVEMENT E.LECLERC
Ce Mouvement a été créé en 1949 par Edouard Leclerc pour développer l'activité de grande distribution. L'objectif principal du Mouvement Leclerc est de poursuivre ses combats pour proposer des services de qualité aux meilleurs prix et défendre la libre concurrence.
L’organisation du Mouvement s’articule autour de trois structures principales :
L’entité ACDLec-Commission Qualité et Développement Durable (acteur dans la transmission de la politique RSE1 du mouvement) permet aussi à la centrale d’avoir accès à une veille réglementaire et normative grâce à l’envoi mensuelle d’une synthèse des textes potentiellement applicables (EXARIS).
Outre ces coopératives, certaines activités très spécifiques ont amené l’enseigne à créer des sociétés dédiées. C’est le cas principalement de la SIPLEC (Société d’Importation de E. Leclerc), en charge de l’achat des carburants et de l’importation des produits non alimentaires et de la Scamark, en charge de la conception et du développement des marques d’enseigne. Enfin, les offres spécialisées sont elles aussi pilotées par des entités dédiées, comme la Scapauto qui gère les centres d’entretien automobiles «L’Auto», Kerméné qui fournit les magasins E. Leclerc en produits boucherie et charcuterie, ou encore la société Devinlec pour le Manège à Bijoux...
1 RSE : Responsabilité Sociétale des Entreprises
L’ACDLEC (Association des Centres Distributeurs E. Leclerc), qui attribue l’enseigne aux adhérents, contrôle le respect des règles de la charte de l’adhérent et définit les grandes orientations stratégiques de l’enseigne.
Le GALEC (Groupement Achats Leclerc), qui référence les fournisseurs nationaux pour le compte des magasins.
16 coopératives régionales qui assurent la fonction logistique vers les magasins, négocient avec les fournisseurs nationaux pour adapter l’offre aux spécificités de consommation de la région et qui collaborent étroitement avec des fournisseurs locaux.";0
scaouest;6;"2019 - Déclaration de Performance Extra Financière SCAOuest
6
LE FONCTIONNEMENT DE LA SCAOuest
ACDLec
SCAOuest
les promotions, définissent
La SCAOuest est une coopérative de commerçants détaillants : c’est la combinaison d'un regroupement d’Adhérents de centres E. LECLERC et d'une entreprise fondée sur la participation économique des membres, en capital et en opérations.
La Gouvernance
La SCAOUEST est présidée par un Adhérent élu, M. Yannick KERVARREC. Le Conseil d’Administration, constitué de onze administrateurs, se réunit tous les deux mois. Il relaye la politique du Mouvement E.LECLERC et s’assure de sa bonne application en s’appuyant sur le Pôle Commercial et les commissions support. Il définit la stratégie de la coopérative. Le Conseil d’Administration statue sur les projets menés par les Commissions supports : Finances, Informatique, Agrément, Expansion, Logistique, Qualité et Développement Durable, RH et Formations. Les décisions sont arbitrées et prises lors des assemblées mensuelles Stratégiques et Commerciales dans le principe de la coopérative : un Adhérent, une voix. Le Pôle Commercial anime les groupes de travail, appelés « GT » divisés en secteur d’activité. Les différents GT appliquent les directives du GALEC en apportant les spécificités régionales liées aux magasins, à la région et aux priorités des Adhérents de la centrale. Les Commissions et GT sont animés par des Adhérents, des permanents de la centrale et l’encadrement des magasins. Ils veillent à la bonne mise en œuvre des engagements qui lui sont propres, des exemples seront fournis tout au long de ce rapport.
Le rôle de la Centrale
La SCAOuest est au service des Adhérents, magasins et drive. Pour cela, elle assure 3 missions de service : Commerciale : Les équipes de la SCAOuest, en relais des Adhérents, négocient avec les fournisseurs, assurent l'approvisionnement sur l'entrepôt. Logistique : Réception, stockage, manutention, préparation expédition et transport sont autant de fonctions assurées par les équipes d'exploitation en relation avec les équipes d'informatique, d'automatisme et d'entretien. La fonction transport interne (flotte propre) représente environ 10% du transport fret sortant total. Administrative: Mise en œuvre et contrôle du respect de l’équité des coopérateurs, Fonctions administratives (comptabilité analytique générale, contrôle de factures fournisseurs, suivi de frais généraux, trésorerie, gestion de personnel, informatique, 'accueil) et Service Qualité-Développement Durable.
le suivi des dossiers, planifient
l'assortiment et contrôlent";0
scaouest;7;"2019 - Déclaration de Performance Extra Financière SCAOuest
7
Nos parties prenantes
La SCAOuest souhaite renforcer les échanges avec l’ensemble de ses parties prenantes. Avec certaines d’entre elles, des espaces de dialogue spécifiques ont été mis en place pour lesquels la centrale est soit initiatrice, soit participante. La SCAOuest travaille en coopération avec les Pouvoirs Publics.
La démarche RSE de la SCAOuest
L’impulsion du Mouvement E.LECLERC La SCAOuest s’applique à mettre en œuvre les engagements du Mouvement E.LECLERC définis dans le Manifeste pour la planète et le Rapport RSE 2018 ou le rapport Développement Durable2.
Les risques RSE pour la SCAOuest
Afin de mettre en œuvre cet engagement, la SCAOuest a désigné des personnes chargées du Développement Durable, de la Sécurité, de la Qualité et permanents GT (groupes de travail) qui sont relais des politiques Enseigne.
La SCAOuest investit tous les ans pour la protection de l’environnement.
En 2018 : achat de 3 tracteurs (norme Euro 6), achat de 6 remorques réfrigérées (garantie de l’étanchéité optimale), achat d’un logiciel de dématérialisation des factures (en cours de déploiement).
Les risques pour l’environnement ont été pris en compte, site soumis à autorisation au titre des ICPE, cependant, la coopérative SCAOuest n’a constitué aucune provision et garantie pour risques pour l’environnement.
2 Le Manifeste https://www.mouvement.leclerc/devenir-leader-du-developpement-durable
Montants des investissements engagés pour la protection de l’environnement, hors coûts de fonctionnement
En 2018 : 766 603,40 € HT
la planète et Rapport RSE 2018 et Rapport Développement Durable accessibles à
E.LECLERC pour
l’adresse suivante :";0
scaouest;8;"2019 - Déclaration de Performance Extra Financière SCAOuest
54 Drives
8
LA SCAOuest EN CHIFFRES
CA 1481 M€
44
48
86,5 millions colis préparés
Adhérent(e)s
Magasins
745 salariés
184 km en moyenne
par tournée
départements
100 000m² de stockage
7 entrepôts
517 fournisseurs régionaux signés
9
contrats";0
scaouest;9;"2019 - Déclaration de Performance Extra Financière SCAOuest
9
NOTE METHODOLOGIQUE
L’année de référence du reporting est du 1er janvier au 31 décembre 2018. Les données 2018 seront comparées à l’année précédente à savoir 2017. Le périmètre de reporting concerne les activités de la SCAOuest à savoir de la réception sur site des marchandises jusqu’à l’acheminement aux points de vente E. LECLERC adhérents à la centrale (exclusion du fret entrant), les activités commerciales et administratives associées.
Cette première Déclaration de Performance Extra Financière (DPEF) est réalisée en application de la réglementation en vigueur (Décret n° 2017-1265 du 9 août 2017 pris pour l'application de l'ordonnance n°2017-1180 du 19 juillet 2017 relative à la publication d'informations non financières par certaines grandes entreprises et certains groupes d'entreprises).
Afin d’identifier les enjeux majeurs pour l’entreprise, un comité DPEF a été constitué (parties prenantes internes membres de l’encadrement). La démarche est axée autour des 7 questions centrales de l’ISO 26 000 v2010. Le comité a ainsi défini le niveau de performance ainsi que l’impact sur notre entreprise dans le but de déterminer les grands enjeux RSE (Responsabilité Sociétale de l’Entreprise) pour la SCAOuest. Suite à cela, le Comité de Direction (CODIR) a pu affirmer ou améliorer les politiques sociales, environnement et sociétales déjà définies.
Dans l’objectif d’amélioration continue, les personnes qui font parties du comité seront désignées selon un plan pluriannuel.
Dans un second temps, des indicateurs clés de performance sont associés aux enjeux. Ils sont collectés suivant des procédures définies de façon à permettre une reproductibilité annuelle. Les services source de l’information sont sollicités chaque année (Ressources Humaines, Comptabilité, Logistique, Commercial, Environnement,…).
En parallèle de cette démarche, le CODIR a réalisée une cartographie des Parties Prenantes.";0
scaouest;10;"2019 - Déclaration de Performance Extra Financière SCAOuest
Limiter notre impact environnemental, favoriser l’interaction locale et mettre en œuvre les engagements du mouvement Désigner les personnes chargées du Développement Durable, de la Qualité, de la Sécurité et les permanents GT (relais de la politique enseigne) Renforcer les échanges avec les Parties prenantes
Maintenir le site en conformité La communication externe se fait via l’ACDLEC et le GALEC Veiller au respect des Droits de l’Homme Pérenniser les emplois durables
Garantir de bonnes conditions de travail Entretenir un échange avec les parties prenantes internes ""Zéro prise de risque et zéro accident"" ""Les talents et les compétences de chacun sont la richesse de la SCAOuest"" Lutter contre la précarité alimentaire via les dons Limiter notre impact environnemental et prévenir les pollutions Agir pour la réduction de la consommation de carburant, de l’énergie. Maintenir la certification ISO 50001 Management de l’Energie. Prendre en compte l’efficacité énergétique et le recours aux énergies renouvelables Réduite nos gaz à effet de serre de 40% d’ici 2030 (engagement national) Préserver la biodiversité et les espaces naturels Mise en place progressive de la loi Sapin II Entretenir des relations responsables avec les Pouvoirs Publics Veiller au respect de la concurrence loyale et des droits à la propriété
Promouvoir la RSE auprès des partenaires privilégiés
Veiller au respect des règles en vigueur
Mettre en œuvre les engagements nationaux
Le fondement de la coopérative SCAOuest est être au service des adhérents Etre acteur et partenaire du développement local
Valoriser nos métiers Maintenir les actions de lutte contre le gaspillage alimentaire Engagement de l’enseigne – en dehors du SCOPE SCAOuest
10
Page(s)
7
7
7
5
5
30
12
13 - 16
18
13
15 - 16
31
24
22 - 23
20
25 30
7
30
27 - 28
30
27
6
29 - 30 - 31
17
31
31
TABLE RECAPITULATIVE DES ENJEUX RSE
Engagement de la direction et projet stratégique
Mise en œuvre opérationnelle de la responsabilité sociétale Relations avec les Parties prenantes Organisation de la veille réglementaire et normative Communication interne et externe Respect des Droits de l’Homme Emploi et relations employeur/salariés Conditions de travail et protection sociale Dialogue social Santé et Sécurité au travail Développement du capital humain et lutte contre les discriminations Lutter contre la précarité alimentaire
Prévention de la pollution
Utilisation durable des ressources
Atténuation du changement climatique Biodiversité Lutter contre la corruption Relations responsables avec les pouvoirs publics Concurrence loyale et respect des droits de propriété Achats responsables et promotion de la responsabilité sociétale dans la chaine de valeur Protection des consommateurs Accompagner les consommateurs vers une consommation responsable Satisfaction des clients et consommateurs Solidarité et interaction de l’entreprise avec son territoire Création d’emplois et développement des compétences Lutter contre le gaspillage alimentaire Respect du bien-être animal
La SCAOuest est attentive au développement durable, à l’économie circulaire, à l’environnement, à la sécurité et aux risques pour les consommateurs (notamment rupture de la chaine du froid). Suite aux divers travaux menés, certains enjeux ont été identifiés comme majeurs, ils apparaissent en gras dans ce tableau récapitulatif.
Périmètre
Gouvernance
Social et Droit de l’Homme
Environnement
Loyauté des pratiques
Consommateurs
Communauté et développement local
Enjeu
Politique";0
