project_denomination;paragraph_id;page_nb;paragraph;x_group;y_min_paragraph;y_max_paragraph
auchanholding;0;115;DÉCLARATION DE PERFORMANCE EXTRA-FINANCIÈRE;0;494;585
auchanholding;1;115;6.1;0;431;445
auchanholding;2;115;6.2;0;408;422
auchanholding;3;115;6.3;0;384;398
auchanholding;4;115;6.4;0;361;375
auchanholding;5;115;6.5;0;338;352
auchanholding;6;115;6.6;0;314;328
auchanholding;7;115;6.7;0;291;305
auchanholding;8;115;6.8;0;268;282
auchanholding;9;115;Présentation des modèles d’affaires;1;432;444
auchanholding;10;115;Collaborateurs;1;408;421
auchanholding;11;115;Environnement;1;385;398
auchanholding;12;115;Partenaires;1;362;374
auchanholding;13;115;Clients;1;338;351
auchanholding;14;115;Activité des fondations;1;315;328
auchanholding;15;115;Méthodologie;1;292;305
auchanholding;16;115;Rapport de l'un des commissaires aux comptes sur la déclaration consolidée de performance extra-financière figurant dans le rapport de gestion162;1;244;281
auchanholding;17;115;115;2;432;444
auchanholding;18;115;121;2;408;421
auchanholding;19;115;133;2;385;398
auchanholding;20;115;143;2;362;374
auchanholding;21;115;150;2;338;351
auchanholding;22;115;156;2;315;328
auchanholding;23;115;159;2;292;304
auchanholding;24;115;Rapport financier 2018 I;2;22;30
auchanholding;25;115;113;3;21;37
auchanholding;26;116;6 DÉCLARATION DE PERFORMANCE EXTRA-FINANCIÈRE;0;752;850
auchanholding;27;116;"Rapport financier 2018 I 114.
";0;21;30
auchanholding;28;117;"DÉCLARATION DE PERFORMANCE EXTRA-FINANCIÈRE Présentation des modèles d’affaires.
";2;795;813
auchanholding;29;117;industriels, humains ou;2;549;560
auchanholding;30;117;Rapport financier 2018 I;2;22;30
auchanholding;31;117;La lecture de la performance financière permet de rendre compte des résultats de l’année écoulée.;0;577;588
auchanholding;32;117;L’entreprise ne peut néanmoins être désormais considérée comme un seul actif financier brut mais davantage;0;563;574
auchanholding;33;117;comme un paradigme dont;0;549;560
auchanholding;34;117;environnementaux et dont les frontières sont plus perméables que par le passé.;0;535;546
auchanholding;35;117;Traditionnellement présentés au cœur d’un document leur étant exclusivement dédiés, les résultats financiers;0;519;530
auchanholding;36;117;d’Auchan Holding sont pour la première fois complétés par des informations extra-financières, proposées dans;0;505;516
auchanholding;37;117;le chapitre ci-après. Cette approche complémentaire traduit la volonté des entreprises d’Auchan Holding de;0;491;502
auchanholding;38;117;prendre en considération les potentiels de création de valeur à long terme, appuyés par une analyse pertinente;0;477;488
auchanholding;39;117;de la gestion des actifs immatériels, des risques et opportunités liés aux politiques RSE identifiées avec et pour;0;463;474
auchanholding;40;117;leurs différentes parties prenantes.;0;449;460
auchanholding;41;117;PRÉSENTATION DES MODÈLES D’AFFAIRES 6.1;0;260;278
auchanholding;42;117;CHIFFRES CLÉS AUCHAN HOLDING;0;226;239
auchanholding;43;117;Pour Auchan Holding;0;205;216
auchanholding;44;117;Produits des activités ordinaires (HT) : 50 986 M€;0;188;198
auchanholding;45;117;Achats nets des ristournes, prestations fournisseurs et coûts annexes et logistiques : 38 882 M€;0;174;184
auchanholding;46;117;Rémunérations du personnel, après charges sociales et main-d’œuvre externe, yc. Intéressement, participation et avantages au personnel : 6 441 M€;0;150;170
auchanholding;47;117;EBITDA : 1 999 M€;0;136;145
auchanholding;48;117;Investissements courants : 1 767 M€;0;121;131
auchanholding;49;117;les enjeux sont certes financiers, mais aussi;1;549;560
auchanholding;50;117;6;3;284;330
auchanholding;51;117;115;3;21;37
auchanholding;52;118;@;2;790;798
auchanholding;53;118;Hypermarché;2;747;753
auchanholding;54;118;Habitants;2;608;615
auchanholding;55;118;Ultra proximité;2;531;544
auchanholding;56;118;à l’épanouissement personnel et professionnel de ses collaborateurs en développant leur savoir-être, leur savoir-faire et la polyvalence de leur profil.;2;447;486
auchanholding;57;118;Conscient de sa responsabilité locale, Auchan Retail contribue au développement d’écosystèmes locaux grâce aux filières d’approvisionnement, aux partenariats avec les producteurs et les PME régionales. Auchan Retail est ainsi pourvoyeur d’emplois directs mais aussi indirects par l’intermédiaire de ses partenaires commerciaux : franchisés, prestataires de biens et de services, producteurs et autres artisans.;2;344;443
auchanholding;58;118;Auchan Retail veille à rechercher systématiquement le meilleur équilibre entre offre globale et offre locale au regard des besoins, des goûts et des modes de consommation des clients propres à chacun de ses territoires d’implantation.;2;281;340
auchanholding;59;118;Pour servir au mieux cette équation, Auchan Retail s’appuie sur une politique d’achats menée seul ou à travers des alliances et la volonté de la conduire de façon responsable. Cette responsabilité s’illustre également par :;2;228;277
auchanholding;60;118;"• le développement de ses marques propres qui allient exigence de qualité et juste prix favorisant le pouvoir d’achat des habitants ;";2;195;224
auchanholding;61;118;• les meilleures filières d’approvisionnement en produits agricoles pour répondre aux exigences de bien-manger des consommateurs, pour limiter l’impact environnemental des méthodes de production et consolider l’emploi localement.;2;131;190
auchanholding;62;118;Enfin, via l’implication solidaire de ses collaborateurs et le concours de ses fondations, Auchan Retail développe et prend part aux initiatives locales essentiellement centrées sur le développement de la santé, le bien-être et l’alimentation saine des jeunes dans le besoin.;2;59;127
auchanholding;63;118;Modèle d’affaires;0;769;790
auchanholding;64;118;Militant du bon, du sain et du local, Auchan Retail s’engage à réinventer l’expérience client en plaçant l’humain au cœur de ses actions.;0;580;670
auchanholding;65;118;"VOLET ÉCONOMIQUE CA 50,3 milliards d’euros.
 EBITDA 1,5 milliard d’euros Investissements : 1,2 milliard d’euros.
";0;461;529
auchanholding;66;118;Nombre de pays d’implantation :;0;449;459
auchanholding;67;118;"VOLET ENVIRONNEMENT Évolution des consommations.
";0;373;404
auchanholding;68;118;énergétiques des magasins;0;361;370
auchanholding;69;118;"par m2 de surface : -5,9 % Évolution de l’intensité carbone.
";0;337;362
auchanholding;70;118;des magasins par m2 de surface :;0;325;336
auchanholding;71;118;"-7,1 % Taux de valorisation des déchets.
";0;301;326
auchanholding;72;118;des hypermarchés : 65,8 %;0;286;302
auchanholding;73;118;"VOLET RH Nombre de salariés : 354 851.
 Part des femmes dans.
";0;212;255
auchanholding;74;118;"l’encadrement : 48,6 % Nombre de salariés en situation.
";0;188;213
auchanholding;75;118;de handicap : 11 620;0;172;189
auchanholding;76;118;"VOLET SOCIÉTAL Nombre d’audits sociaux.
 menés auprès des fournisseurs";0;103;142
auchanholding;77;118;"internationaux : 1 103 Nombre de projets soutenus.
";0;81;105
